"Date","Price","Open","High","Low","Change %"
"09/25/2022","0.510","0.510","0.510","0.510","45.71%"
"09/24/2022","0.350","0.510","0.510","0.350","0.00%"
"09/23/2022","0.350","0.400","0.580","0.290","-10.26%"
"09/22/2022","0.390","0.350","0.630","0.100","-18.75%"
"09/21/2022","0.480","0.350","0.630","0.350","-11.11%"
"09/20/2022","0.540","0.350","0.610","0.350","12.50%"
"09/19/2022","0.480","0.350","0.500","0.350","0.00%"
"09/18/2022","0.480","0.480","0.480","0.480","0.00%"
"09/17/2022","0.480","0.480","0.480","0.480","-4.00%"
"09/16/2022","0.500","0.350","0.540","0.350","0.00%"
"09/15/2022","0.500","0.300","0.550","0.300","-9.09%"
"09/14/2022","0.550","0.300","0.550","0.300","25.00%"
"09/13/2022","0.440","0.300","0.570","0.300","-12.00%"
"09/12/2022","0.500","0.320","0.500","0.320","47.06%"
"09/11/2022","0.340","0.380","0.380","0.340","0.00%"
"09/10/2022","0.340","0.340","0.340","0.340","0.00%"
"09/09/2022","0.340","0.150","0.450","0.150","126.67%"
"09/08/2022","0.150","-0.100","0.470","-0.100","-55.88%"
"09/07/2022","0.340","-0.250","0.360","-0.250","100.00%"
"09/06/2022","0.170","-0.100","0.360","-0.100","240.00%"
"09/05/2022","0.050","-0.100","0.290","-0.250","-16.67%"
"09/04/2022","0.060","0.160","0.160","0.060","0.00%"
"09/03/2022","0.060","0.160","0.160","0.060","-70.00%"
"09/02/2022","0.200","-0.100","0.250","-0.100","300.00%"
"09/01/2022","0.050","-0.100","0.250","-0.100","0.00%"
"08/31/2022","0.050","-0.100","0.170","-0.100","0.00%"
"08/30/2022","0.050","-0.100","0.170","-0.100","-16.67%"
"08/29/2022","0.060","-0.100","0.120","-0.100","-160.00%"
"08/28/2022","-0.100","0.010","0.010","-0.100","0.00%"
"08/27/2022","-0.100","-0.100","-0.100","-0.100","0.00%"
"08/26/2022","-0.100","-0.250","0.080","-0.250","0.00%"
"08/25/2022","-0.100","-0.250","0.010","-0.250","0.00%"
"08/24/2022","-0.100","-0.250","0.010","-0.250","0.00%"
"08/23/2022","-0.100","-0.250","0.010","-0.250","0.00%"
"08/22/2022","-0.100","-0.250","0.010","-0.250","0.00%"
"08/21/2022","-0.100","-0.020","-0.020","-0.100","0.00%"
"08/20/2022","-0.100","-0.040","-0.040","-0.100","150.00%"
"08/19/2022","-0.040","-0.250","0.010","-0.250","-60.00%"
"08/18/2022","-0.100","-0.250","0.030","-0.250","0.00%"
"08/17/2022","-0.100","-0.250","0.010","-0.250","0.00%"
"08/16/2022","-0.100","-0.250","0.010","-0.250","0.00%"
"08/15/2022","-0.100","-0.250","-0.020","-0.250","233.33%"
"08/14/2022","-0.030","-0.100","-0.030","-0.100","-70.00%"
"08/13/2022","-0.100","-0.050","-0.030","-0.100","0.00%"
"08/12/2022","-0.100","-0.250","0.020","-0.250","0.00%"
