"Date","Price","Open","High","Low","Change %"
"03/11/2022","0.048","0.014","0.062","0.009","65.52%"
"03/10/2022","0.029","-0.051","0.058","-0.075","-150.88%"
"03/09/2022","-0.057","-0.098","-0.035","-0.108","-45.71%"
"03/08/2022","-0.105","-0.154","-0.078","-0.157","-24.46%"
"03/07/2022","-0.139","-0.130","-0.123","-0.183","0.00%"
"03/04/2022","-0.139","-0.112","-0.102","-0.157","29.91%"
"03/03/2022","-0.107","-0.149","-0.097","-0.161","-11.57%"
"03/02/2022","-0.121","-0.244","-0.116","-0.266","-47.39%"
"03/01/2022","-0.230","-0.068","-0.068","-0.239","333.96%"
"02/28/2022","-0.053","0.044","0.044","-0.053","-215.22%"
"02/25/2022","0.046","0.006","0.046","-0.018","-453.85%"
"02/24/2022","-0.013","-0.014","-0.009","-0.048","-150.00%"
"02/23/2022","0.026","0.010","0.043","0.007","116.67%"
"02/22/2022","0.012","-0.056","0.020","-0.068","-150.00%"
"02/21/2022","-0.024","0.005","0.005","-0.051","-900.00%"
"02/18/2022","0.003","0.029","0.029","-0.019","-86.96%"
"02/17/2022","0.023","0.039","0.051","0.015","-52.08%"
"02/16/2022","0.048","0.097","0.097","0.036","-47.83%"
"02/15/2022","0.092","0.092","0.130","0.082","253.85%"
"02/14/2022","0.026","0.035","0.035","-0.031","-61.19%"
"02/11/2022","0.067","0.067","0.081","0.006","272.22%"
"02/10/2022","0.018","0.007","0.018","-0.009","-1,000.00%"
"02/09/2022","-0.002","0.064","0.064","-0.006","-102.82%"
"02/08/2022","0.071","0.033","0.071","0.021","129.03%"
"02/07/2022","0.031","0.058","0.069","0.020","-13.89%"
"02/04/2022","0.036","0.003","0.064","-0.015","-167.92%"
"02/03/2022","-0.053","-0.169","-0.003","-0.191","-71.20%"
"02/02/2022","-0.184","-0.193","-0.168","-0.208","-9.36%"
"02/01/2022","-0.203","-0.218","-0.190","-0.225","-3.79%"
"01/31/2022","-0.211","-0.255","-0.206","-0.255","-15.60%"
"01/28/2022","-0.250","-0.267","-0.245","-0.267","-8.42%"
"01/27/2022","-0.273","-0.286","-0.269","-0.293","-12.78%"
"01/26/2022","-0.313","-0.295","-0.295","-0.317","1.62%"
"01/25/2022","-0.308","-0.308","-0.288","-0.314","-0.32%"
"01/24/2022","-0.309","-0.293","-0.291","-0.311","9.57%"
"01/21/2022","-0.282","-0.286","-0.282","-0.308","0.36%"
"01/20/2022","-0.281","-0.259","-0.256","-0.281","5.24%"
"01/19/2022","-0.267","-0.249","-0.236","-0.267","-3.61%"
"01/18/2022","-0.277","-0.266","-0.255","-0.277","0.36%"
"01/17/2022","-0.276","-0.282","-0.269","-0.282","-7.07%"
